Date,Day Number,Project Number,Counter Number,Location,Direction,Time,AM or PM,Value 01,Value 02
September 21 2022,1,12203-01,1,410,EAST-WEST,12:00,PM,87,0
September 21 2022,1,12203-01,1,410,EAST-WEST,12:15,PM,61,0
September 21 2022,1,12203-01,1,410,EAST-WEST,12:30,PM,94,0
September 21 2022,1,12203-01,1,410,EAST-WEST,12:45,PM,85,0
September 21 2022,1,12203-01,1,410,EAST-WEST,17:30,PM,57,0
September 21 2022,1,12203-01,1,410,EAST-WEST,17:45,PM,73,0
September 21 2022,1,12203-01,1,410,EAST-WEST,06:00,AM,177,0
September 21 2022,1,12203-01,1,410,EAST-WEST,18:00,PM,68,0
September 21 2022,1,12203-01,1,410,EAST-WEST,06:15,AM,196,0
September 21 2022,1,12203-01,1,410,EAST-WEST,18:15,PM,75,0
September 21 2022,1,12203-01,1,410,EAST-WEST,06:30,AM,206,0
September 21 2022,1,12203-01,1,410,EAST-WEST,06:45,AM,152,0
September 22 2022,2,12203-01,1,410,EAST-WEST,12:15,PM,91,0
September 22 2022,2,12203-01,1,410,EAST-WEST,12:30,PM,66,0
September 22 2022,2,12203-01,1,410,EAST-WEST,12:45,PM,81,0
September 22 2022,2,12203-01,1,410,EAST-WEST,13:00,PM,64,0
September 22 2022,2,12203-01,1,410,EAST-WEST,17:45,PM,77,0
September 22 2022,2,12203-01,1,410,EAST-WEST,18:00,PM,62,0
September 22 2022,2,12203-01,1,410,EAST-WEST,06:15,AM,193,0
September 22 2022,2,12203-01,1,410,EAST-WEST,18:15,PM,68,0
September 22 2022,2,12203-01,1,410,EAST-WEST,06:30,AM,215,0
September 22 2022,2,12203-01,1,410,EAST-WEST,18:30,PM,66,0
September 22 2022,2,12203-01,1,410,EAST-WEST,06:45,AM,221,0
September 22 2022,2,12203-01,1,410,EAST-WEST,07:00,AM,183,0
September 21 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,14:00,PM,138,0
September 21 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,14:15,PM,122,0
September 21 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,14:30,PM,145,0
September 21 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,14:45,PM,121,0
September 21 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,15:15,PM,225,0
September 21 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,15:30,PM,188,0
September 21 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,15:45,PM,188,0
September 21 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,16:00,PM,195,0
September 21 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,10:00,AM,66,0
September 21 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,10:15,AM,76,0
September 21 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,10:30,AM,80,0
September 21 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,10:45,AM,72,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,14:00,PM,122,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,14:15,PM,122,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,14:30,PM,119,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,14:45,PM,123,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,15:45,PM,195,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,16:00,PM,218,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,16:15,PM,202,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,16:30,PM,227,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,10:00,AM,68,0
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,2,400,WEST-EAST,10:15,AM,65,0
